ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,total_mv,circ_mv,name,industry,list_date
920139.BJ,20260305,19.63,1.3695,0.72,,5.0672,529043.0105,507086.5139,华岭股份,半导体,20221028
002310.SZ,20260305,2.42,3.4926,1.54,,9.4496,1451835.9523,1016170.0315,东方新能,环境保护,20091127
300415.SZ,20260305,27.75,4.2604,1.29,21.3895,4.1696,1300259.7831,1257330.6857,伊之密,专用机械,20150123
002569.SZ,20260305,14.13,1.1805,0.76,,70.5289,203486.13,197758.4285,*ST步森,服饰,20110412
600279.SH,20260305,5.31,1.6789,0.79,11.9138,0.9355,630225.9963,630225.9963,重庆港,港口,20000731
002682.SZ,20260305,6.68,19.2468,1.52,,3.4881,375662.2208,375656.6096,龙洲股份,仓储物流,20120612
600802.SH,20260305,6.19,2.5287,1.01,,2.5624,283655.7596,283655.7596,福建水泥,水泥,19940103
300805.SZ,20260305,11.98,2.9388,0.68,362.1536,3.257,508481.6981,345444.9197,电声股份,广告包装,20191121
300520.SZ,20260305,44.53,17.3905,1.78,,7.3493,1300414.1232,1237971.5521,科大国创,软件服务,20160708
002330.SZ,20260305,4.96,1.8479,0.85,,1.3756,315116.3838,315048.6426,得利斯,食品,20100106
688577.SH,20260305,66.9,1.077,0.85,288.2225,7.3335,744461.387,744461.387,浙海德曼,机床制造,20200916
301151.SZ,20260305,19.67,1.4338,0.8,43.8176,1.6244,332431.0647,332115.7644,冠龙节能,机械基件,20220411
603599.SH,20260305,14.28,1.8307,0.75,16.6919,1.3039,1299864.6247,1299864.6247,广信股份,农药化肥,20150513
000547.SZ,20260305,31.61,19.6091,1.14,,10.7483,5052758.1983,5023211.677,航天发展,通信设备,19931130
002453.SZ,20260305,6.17,2.8151,1.09,,5.4692,501230.5167,378074.8549,华软科技,化工原料,20100720
002493.SZ,20260305,15.45,0.9878,1.12,213.0299,3.5322,15433688.2824,14464596.6887,荣盛石化,化纤,20101102
002810.SZ,20260305,18.05,2.4648,0.53,28.4122,2.8174,629713.7488,583158.021,山东赫达,化工原料,20160826
605080.SH,20260305,23.9,0.529,0.46,18.2723,1.5381,338282.6076,335439.368,浙江自然,文教休闲,20210506
300590.SZ,20260305,12.07,1.8653,0.7,34.9991,3.0441,555120.4684,427715.4446,移为通信,通信设备,20170111
300697.SZ,20260305,17.78,5.8655,0.8,58.863,6.2725,769233.92,358251.4674,电工合金,铜,20170907
300400.SZ,20260305,21.75,4.5164,1.07,63.4482,7.7426,527711.115,521833.395,劲拓股份,专用机械,20141010
600365.SH,20260305,3.15,1.3541,1.16,,5.3043,143019.45,134593.2,ST通葡,互联网,20010115
603606.SH,20260305,61.2,2.6722,1.4,41.7476,5.4896,4208818.0522,4208818.0522,东方电缆,电气设备,20141015
600333.SH,20260305,5.83,7.3377,0.97,,1.8994,355064.8888,355064.8888,长春燃气,供气供热,20001211
002594.SZ,20260305,94.47,1.5842,0.79,21.3965,3.9175,86130165.3966,32943973.5019,比亚迪,汽车整车,20110630
002950.SZ,20260305,10.46,0.889,0.74,17.9667,1.7754,662395.6157,472786.9886,奥美医疗,医疗保健,20190311
300418.SZ,20260305,52.68,3.9773,0.53,,4.7093,6613220.4284,6608657.0234,昆仑万维,互联网,20150121
002048.SZ,20260305,28.93,1.886,0.77,24.7052,2.0937,2354419.2219,2053434.6698,宁波华翔,汽车配件,20050603
300438.SZ,20260305,46.25,6.3605,0.58,,4.4681,2327963.04,1869259.6008,鹏辉能源,电气设备,20150424
601636.SH,20260305,6.76,1.8811,0.85,52.277,1.3216,2000049.9201,2000049.9201,旗滨集团,玻璃,20110812
002715.SZ,20260305,16.06,2.181,0.76,431.895,4.698,221628.0,221628.0,登云股份,汽车配件,20140219
002858.SZ,20260305,15.11,3.5495,0.97,,4.5532,247682.8752,222084.4198,力盛体育,文教休闲,20170324
600900.SH,20260305,27.08,0.5432,0.92,20.3901,3.0681,66259933.5749,66259933.5749,长江电力,水力发电,20031118
301017.SZ,20260305,14.77,1.7263,0.62,,3.0113,599080.737,359806.737,漱玉平民,医药商业,20210705
600073.SH,20260305,6.48,1.6857,1.12,28.1242,1.212,607648.6979,607648.6979,光明肉业,食品,19970704
603916.SH,20260305,11.15,2.2702,0.72,49.5739,1.1278,475319.3409,468662.7909,苏博特,化工原料,20171110
688328.SH,20260305,35.8,11.9421,4.06,,4.0736,338153.5361,338153.5361,深科达,专用机械,20210309
002579.SZ,20260305,12.07,6.7444,1.31,,3.0567,739430.6743,704178.1561,中京电子,元器件,20110506
605088.SH,20260305,33.68,0.9575,0.56,22.9153,2.3776,682781.3465,672640.9721,冠盛股份,汽车配件,20200817
002568.SZ,20260305,18.87,0.7448,0.57,27.5135,4.1669,1978611.1233,1363844.8649,百润股份,红黄酒,20110325
001300.SZ,20260305,15.94,0.7995,0.54,174.4916,3.7505,388578.8069,388578.8069,三柏硕,文教休闲,20221019
300462.SZ,20260305,12.76,2.894,1.48,,1.6175,231239.1929,176131.4376,ST华铭,IT设备,20150527
603536.SH,20260305,10.05,1.3443,0.65,,6.0466,243592.6839,241734.9213,惠发食品,食品,20170613
600235.SH,20260305,6.99,2.0048,0.91,34.1048,1.6227,245558.7,245558.7,民丰特纸,造纸,20000615
300820.SZ,20260305,53.82,3.8094,0.98,37.061,4.7198,1196165.6891,601597.8664,英杰电气,电气设备,20200213
003000.SZ,20260305,10.62,0.9109,0.58,16.4369,3.5967,478849.5969,327160.0333,劲仔食品,食品,20200914
920402.BJ,20260305,10.39,3.639,1.43,56.4571,2.8389,438520.4096,283515.3348,硅烷科技,化工原料,20220928
001236.SZ,20260305,9.8,1.4452,0.78,331.1258,5.2902,987622.2224,742916.2224,弘业期货,多元金融,20220805
688653.SH,20260305,13.59,2.4143,0.83,,4.0348,576868.32,430003.3603,康希通信,半导体,20231117
002179.SZ,20260305,35.01,1.2455,0.65,22.1092,3.0511,7416066.9461,7343694.5191,中航光电,元器件,20071101
688222.SH,20260305,26.53,2.4835,1.01,206.9829,7.124,1063004.04,1063004.04,成都先导,化学制药,20200416
601702.SH,20260305,22.89,0.8034,0.63,18.7669,3.7282,2285636.5434,2285636.5434,华峰铝业,铝,20200907
603373.SH,20260305,41.43,5.6058,0.78,35.4984,2.4944,445483.8721,188216.9374,安邦护卫,仓储物流,20231220
300421.SZ,20260305,25.74,3.7919,0.76,137.0244,5.9639,756834.4658,592905.6413,力星股份,机械基件,20150217
600755.SH,20260305,6.61,1.3903,0.67,22.5835,0.7267,1412967.5451,1409356.7599,厦门国贸,仓储物流,19961003
600415.SH,20260305,14.16,0.9977,0.84,25.262,3.5001,7764719.864,7764719.864,小商品城,商品城,20020509
600486.SH,20260305,80.0,1.1883,0.82,26.9749,2.8778,3242602.344,3231909.232,扬农化工,农药化肥,20020425
688317.SH,20260305,19.71,0.7579,0.57,,1.131,378743.416,378743.416,之江生物,医疗保健,20210118
600378.SH,20260305,37.09,1.1046,1.15,45.4035,2.6586,4784608.5906,3978144.9314,昊华科技,化工原料,20010111
603697.SH,20260305,11.24,1.2333,0.53,30.5557,2.7315,480725.9182,480725.9182,有友食品,食品,20190508
301270.SZ,20260305,36.08,3.0933,0.65,409.6077,3.663,360800.0,340930.1812,汉仪股份,软件服务,20220831
601900.SH,20260305,13.94,0.86,0.64,15.1822,1.4232,1229466.311,1229466.311,南方传媒,出版业,20160215
600906.SH,20260305,6.55,1.0565,0.85,30.9592,1.7449,2125475.0,1391373.8923,财达证券,证券,20210507
000058.SZ,20260305,8.46,0.6748,0.59,277.3058,5.0001,1041595.7685,833089.4935,深赛格,商品城,19961226
600522.SH,20260305,28.82,5.1421,0.91,34.6596,2.6861,9836120.8971,9836120.8971,中天科技,通信设备,20021024
603185.SH,20260305,24.07,1.8178,0.79,,1.3533,1644165.8624,1634406.4402,弘元绿能,电气设备,20181228
300725.SZ,20260305,36.62,2.4205,0.68,38.9999,1.1977,856202.4827,742338.3091,药石科技,化学制药,20171110
600753.SH,20260305,10.41,3.8207,0.78,,107.8138,239749.7692,239749.7692,*ST海钦,商贸代理,19960927
002972.SZ,20260305,12.07,1.7792,0.73,33.7097,2.4729,296932.6216,162518.5548,科安达,运输设备,20191227
300670.SZ,20260305,7.19,12.8036,2.49,287.1403,3.9967,227865.8244,161555.1485,大烨智能,电气设备,20170703
000926.SZ,20260305,2.18,1.5178,0.73,,0.4026,347266.3207,342959.5936,福星股份,区域地产,19990618
688651.SH,20260305,43.9,4.0814,0.78,2032.5468,3.5238,331001.61,142474.9301,盛邦安全,软件服务,20230726
603900.SH,20260305,8.06,2.6598,0.64,,1.4207,276477.215,275449.565,莱绅通灵,服饰,20161123
688697.SH,20260305,15.3,0.5393,0.62,21.5195,3.7903,699720.0714,699720.0714,纽威数控,机床制造,20210917
920026.BJ,20260305,35.94,1.8815,0.75,,4.6798,294985.6221,133749.3443,卓兆点胶,机械基件,20231019
603797.SH,20260305,5.03,1.2496,0.88,16.155,0.8959,290032.4106,290032.4106,联泰环保,环境保护,20170413
603137.SH,20260305,14.08,3.1088,1.14,27.5909,2.0717,257570.1343,103816.5343,恒尚节能,装修装饰,20230419
688623.SH,20260305,103.45,5.6067,1.14,70.4371,2.8848,611831.2315,198031.2315,双元科技,专用机械,20230608
688067.SH,20260305,27.07,1.9653,0.64,80.5894,3.5782,184076.0,184076.0,爱威科技,医疗保健,20210616
301260.SZ,20260305,15.72,0.9518,0.69,86.2885,1.7005,758422.5203,321373.0304,格力博,专用机械,20230208
603738.SH,20260305,23.72,13.0547,0.77,104.5119,5.347,915325.131,915325.131,泰晶科技,元器件,20160928
002497.SZ,20260305,24.76,3.3931,0.56,110.991,2.6301,2853744.7995,2620973.1178,雅化集团,小金属,20101109
000711.SZ,20260305,4.01,0.2203,0.05,,19.7707,1145647.4654,916579.2193,ST京蓝,环境保护,19970411
002073.SZ,20260305,7.64,2.2603,0.73,15.3912,1.2714,779070.9872,774790.9828,软控股份,专用机械,20061018
300252.SZ,20260305,14.9,5.1825,0.6,788.3906,4.5198,986609.2127,832600.0189,金信诺,通信设备,20110818
603928.SH,20260305,15.61,1.3393,0.71,100.9677,2.6394,409106.88,409106.88,兴业股份,化工原料,20161212
301257.SZ,20260305,63.74,1.1033,0.62,47.3156,4.0375,503576.404,480082.726,普蕊斯,医疗保健,20220517
600843.SH,20260305,10.88,1.2693,0.54,,2.5493,775925.1302,510514.3302,上工申贝,纺织机械,19940311
600135.SH,20260305,8.93,1.2347,0.57,,2.0716,494103.2394,494103.2394,乐凯胶片,塑料,19980122
002239.SZ,20260305,3.1,2.7346,1.01,97.2482,1.8409,1028684.258,1012507.1498,奥特佳,汽车配件,20080522
603668.SH,20260305,13.91,1.0216,0.75,270.2225,2.9872,703461.0714,703461.0714,天马科技,饲料,20170117
300227.SZ,20260305,13.25,8.026,0.97,,4.6553,737510.0931,573814.7409,光韵达,专用机械,20110608
600905.SH,20260305,4.25,0.8536,1.14,19.8804,1.3618,12149751.3104,12149751.3104,三峡能源,新型电力,20210610
